ID	Genotype	 1-Hexanal	E-beta-Ocimene	 3(Z)-Hexen-1-ol-acetate 	 Isohexanol	 1-Hexanol	 3(Z)-hexenyl-propanoate	 4(Z)-Hexenyl-butanoate	 2(E)-Hexenyl-butanoate	 n-Hexyl-butanoate	 Hexyl 2-methylbutanoate	 3(Z)-Hexenyl-butanoate	 3(Z)-hexenyl-valerate	 3(Z)-Hexenyl-isovalerate	  Linalooll	 alpha-Duprezianene	TAB	 beta-Elemene	 3(Z)-Hexenylcaproate	 4(E)-Hexenyl-hexanoate	 5-Hexenyl-hexanoate	 (E)-Hex-3-enyl(E)-2-methylbut-2-enoate	 alpha-Terpineol	 sesquiterpeneRT22.7	 sesquiterpeneRT22.8	 sesquiterpeneRT23.0	 3(Z)-Hexen-1-oltrifluoroacetate	 alpha-Farnesene	 sesquiterpeneRT23.8	 Sesquiphellandrene	 sesquiterpenoidRT24.2	Nicotine	 Benzyl-alcohol	 sesquiterpeneRT27.3
74B	74B	42364	1101531	178404	87663	77680	556852	2128197	171750	115648	62426	4582218	3686248	214816	42317	110009	40665	3000	2341725	1276934	70681	2157593	639106	3000	9292	6389	691508	60389	3000	3760	6584	6546469	1516389	448537
95A	95A	51046	14204	229481	136483	122945	795039	2328392	259407	173978	89613	5142167	3940802	276626	11101	78158	262573	9793	3051391	1715897	74770	2300413	907272	6980	39015	35582	561541	3000	11482	6352	6600	5054179	1281703	310960
59A	59A	36839	596967	374780	140018	108976	937225	4224951	274848	184230	131377	5146451	5916368	287302	11205	153904	189516	24734	3582502	1895123	87311	2799221	749035	8964	62394	54178	600366	219336	34672	6280	6612	14065181	2002330	580216
43A	43A	32445	1085136	350459	178010	141595	940892	3547968	217151	234559	131308	6976348	5535930	332644	91210	224887	132539	17814	3108337	1660828	114209	3205614	1124200	5292	30380	26903	1022957	36735	19582	4131	6640	41286860	1436419	845946
78A	78A	37883	386978	237053	80364	89803	437796	2032050	125487	94569	37081	3361945	2091289	122069	137681	198146	60806	3000	942522	503344	47922	960707	628637	3960	23617	21885	368350	51827	3000	3000	6670	4005226	2008026	723848
126B	126B	35238	12718	82190	44536	52450	252805	1463975	121613	41781	29615	1431653	1387830	112003	100527	61330	162639	3000	765356	355271	21113	708037	453664	3309	15165	13411	170405	3000	3000	3000	6690	17181856	1778692	227377
18B	18B	41525	430541	82502	89336	69632	240876	2093656	148463	53201	37911	1254422	1596613	106067	96322	179077	117834	3000	790418	513539	29753	877725	300128	4971	5257	3000	155433	13365	3479	3089	6767	13059006	1647277	573318
98B	98B	34156	1562977	60923	65670	64255	196938	1139020	85103	71835	35013	2403715	1339481	106547	134237	152846	201435	3000	700065	490202	44909	1116774	954799	3546	16556	16556	356924	80164	3936	4274	6806	9507461	1545559	551488
97A	97A	40880	540396	161300	79255	95326	370120	1719735	131116	110871	43410	4958845	2893548	156507	83201	69508	87526	3052	1187325	530369	64132	1061878	491857	5279	8196	9008	453588	36885	3000	3856	6812	4876583	1705988	239052
148B	148B	27401	586413	203753	74068	72779	934520	2862742	132801	144491	129679	6250526	7252447	230226	139565	238563	109140	3000	1739215	932462	91630	2339226	406460	3000	22686	20825	768289	33041	6076	4206	6832	13721576	1039454	639879
36B	36B	297666	875385	219896	52832	63793	484526	1564380	111206	162032	98396	8456728	6767195	188855	6930	460741	184530	15890	2486331	938576	170319	2489963	622845	7162	46535	48253	1500203	280636	12132	7070	6857	37773045	1490634	1432375
127B	127B	39042	535504	200872	109741	80897	572752	2840692	123181	70804	52196	3063243	3035359	149910	12025	256568	77342	3000	868498	297830	50731	692034	339974	3000	5185	3025	164544	13521	3000	3000	6906	8410703	2049737	635341
07B	07B	79708	732095	71887	33312	39831	183346	1057367	87401	50519	25013	1652769	1130459	96099	7847	85939	93613	6061	655121	315621	37503	689348	590311	3000	14939	9818	215330	66999	3614	3000	6974	8026287	1794118	322277
06B	06B	28413	954042	260648	86714	83856	642219	2781550	153280	73580	42314	3775117	2636489	180916	94939	155744	137718	3000	1348565	722296	60631	1346721	561665	5755	16030	12315	500524	82082	3258	4789	6983	10148786	2027533	595029
20B	20B	36755	1018740	122022	60816	47579	292107	1141551	94264	76597	58874	3660356	3048362	170485	210298	142029	326433	40204	2033558	1090706	91230	2559417	850282	11116	61304	68366	864202	113481	39581	9753	7243	19962611	901291	647703
Az1	Az1	41094	309766	536305	81790	137390	423036	2597377	135429	149107	71171	5801332	4931958	171203	48373	250808	24723	3000	1519215	265424	66561	1139623	122543	3000	5922	5922	381836	56501	3000	3000	7261	4477518	2126242	919524
129A	129A	27804	1561021	119456	158882	94733	324350	2091708	132273	75099	41635	2310277	2077216	148005	190398	238382	80304	3514	2470645	824975	46908	1297782	464323	3000	15779	10120	286593	98556	3000	3005	7379	7645877	1748930	730537
112A	112A	43754	11303	155490	69812	60836	660747	3035097	242921	72026	62516	1870715	2753881	170126	102219	156771	163180	3000	1838422	844705	50731	1552650	293026	8616	12044	7765	228794	3000	3000	4767	7667	15391401	2523124	559894
71A	71A	33353	639733	245710	123284	110933	598399	4170886	172485	150981	92352	5821527	5862328	263361	103520	291899	85923	3000	2479204	970391	70649	2334071	537029	8694	18489	11882	727404	65012	3000	5547	7702	4193620	2067238	660261
89A	89A	35805	731750	266850	71272	79204	549647	2052642	148736	140481	104836	5045618	4658247	199107	9269	125194	156442	9381	2189156	808746	81455	1755326	596469	3787	21498	16886	566643	41029	11061	4436	7893	21718313	1424056	437178
110A	110A	45063	508191	90615	43361	45402	223444	887618	108482	39185	15012	1401381	1116034	87325	83824	106763	60649	3000	1249710	532862	34300	846650	464476	3000	3000	3000	250775	37198	3000	3083	7984	22032680	1597083	419308
10A	10A	58425	1895883	443436	277467	184284	1090891	5360539	361458	325826	121236	11880673	6514190	398183	94846	1214556	144428	9071	3564217	1325982	126471	3064213	995050	10695	42274	38734	906536	146412	13313	8063	8140	3060537	1094154	2417991
59B	59B	41153	5907302	594944	257484	246565	1637085	7582606	222168	333352	273334	14901652	14928159	513046	281193	455796	474191	113365	7845633	2262320	222756	5452222	1027017	38872	266912	282831	2123403	669752	139984	16275	8211	28674772	2261028	1088288
111A	111A	100837	10350	88979	117666	117399	388837	3478048	252545	125934	148027	1991057	4552717	500480	14508	161039	184869	4758	6329103	2448149	66173	3541643	585433	5399	39053	18642	616840	6528	6733	7198	8306	33313870	1395885	699043
68A	68A	35832	4070497	318393	279734	244358	824848	4909684	256488	315386	137231	8560238	6121141	555658	14815	678858	310828	40354	5777791	1580344	119968	3138161	1473432	16208	112204	105155	652885	558166	53512	15252	8307	29640987	1400192	1879256
56B	56B	60130	607912	232685	150964	97943	586109	3806030	183565	120258	90604	4528247	5393145	374368	130621	349010	90728	3000	4044086	1222210	89302	2027815	550964	8733	7287	4066	761098	11669	3000	3000	8410	18499134	1494422	952297
118B	118B	25752	208629	164592	33601	45977	250066	1432654	94744	40140	28321	2042076	2430301	56828	8854	83874	86718	3000	545160	103638	30747	329262	109942	3000	13618	13708	118472	36098	3000	3000	8504	5241797	2302895	305995
141A	141A	46651	10495	55011	34841	37723	219970	901328	108192	66856	50635	1641764	1924830	153550	17420	142582	455083	36059	2539449	872873	50122	1768837	884980	13504	81272	78041	439316	3000	45500	8248	8515	42867350	646116	629114
69B	69B	69007	19026	114589	35012	41776	402262	1799041	126797	54055	25303	1914552	1696442	104730	11427	60102	182007	3000	813640	402186	25730	660589	194887	3000	9985	8147	189632	3236	5672	3000	8545	10664721	2184944	211284
72B	72B	31369	1372519	55294	68201	50033	187994	1191426	123991	58043	32203	1666089	1176288	107974	128622	256353	162575	3000	791564	422812	33693	769716	387509	3000	10286	7618	147842	48872	8633	3339	8593	11621804	1718581	828938
18A	18A	80659	833134	147025	148029	149567	390803	2442483	166180	191681	119166	5384956	5185397	250016	159159	306669	241007	3000	2267761	1142495	113680	3068232	1034203	11016	27126	20439	686172	41980	7668	10432	8647	11749577	983804	936148
76A	76A	44605	667842	577871	150639	269122	869668	4548799	230001	376633	149160	10292438	7148528	245781	77694	311053	67530	3000	2910881	1295615	143738	2334038	228666	3322	10508	7817	758611	58265	3000	14522	8773	2973873	2966624	992433
01A	01A	49278	514657	646774	80882	132445	627716	3183637	153058	151822	74758	6018995	4178297	104689	54356	256617	39374	3000	738831	249102	72308	959223	111308	3010	13355	11999	370947	72024	3719	3000	8799	1572947	2705292	769705
50A	50A	39178	468058	248997	92401	174442	603803	2260640	134964	117959	43681	3072332	1836626	96895	221765	125863	117211	3000	559207	250335	47792	637137	572245	3000	4224	7082	218034	9472	3000	4146	8871	2655020	2054344	329092
43B	43B	38619	14382	194152	120759	117822	560889	2900986	197694	164292	94088	6094936	4945055	345005	14534	169892	564825	14067	4357575	1098514	79211	2759945	1286351	12639	76211	57815	852211	5688	22757	10583	8976	3511447	1222638	497147
100A	100A	30066	12979	124458	53890	54217	314620	1609841	116590	106389	49282	4361541	2718181	150169	8967	83332	343635	3000	1787418	647625	61241	1145760	445366	5080	34622	37807	554650	3933	13013	8264	8990	11733605	1336398	258094
27A	27A	38388	310930	161591	118280	205958	321099	2559011	130684	169610	59248	4810558	3377157	122695	9532	245160	83798	3000	707231	197420	52492	612442	216064	3015	13604	9281	216371	22417	3155	5934	9017	2056859	2153789	539261
131B	131B	40267	12076	39851	37303	37334	165324	1189455	95725	40382	35824	916489	1384177	156907	10286	150315	251854	3000	1629160	1048054	36740	1511612	542248	3000	16424	6559	388929	3000	5396	5665	9125	28422336	1030042	699647
13A	13A	50186	14424	109297	97849	121038	273232	1750714	129011	69740	29903	2110852	1733822	108256	10107	132790	129194	3000	915919	198282	39562	573411	476231	4688	17087	4658	158290	3000	3748	3553	9155	3670784	1773539	368116
34A	34A	34093	835992	236619	53813	59296	446925	1802123	133544	111727	39324	4657006	2423506	159852	15743	98386	131369	3000	1102795	444356	67382	1157486	880724	3000	10610	8268	357884	23841	3000	4872	9655	6983389	2305117	366647
138A	138A	38368	680382	227426	114963	129136	649367	2785859	148724	164483	98474	4923168	4109927	238770	14533	266945	136989	6673	3054104	1632781	115225	2096559	722215	3614	23688	10400	914715	45275	6376	4325	9819	38484748	1265162	848541
01B	01B	33455	332448	187263	43693	71102	360935	1879645	188501	96046	34032	3063567	1774932	97329	10236	71290	90868	3000	885498	520231	37774	746347	206943	3000	15479	8708	276517	29753	3000	3594	9995	8398607	2313924	285643
73A	73A	45674	1898690	91941	180832	91489	285663	1633302	132468	79259	33700	2577488	1858575	136222	183726	384169	158769	4365	1580424	566804	41649	1148737	650534	3000	9937	12217	201030	81830	3000	3060	10096	5615845	1641200	1012027
42B	42B	31055	387151	68530	75209	51235	238031	1447714	109193	56981	33839	2339669	2164688	97400	11143	132935	64132	3000	843946	254811	31726	620835	222233	3000	3000	3000	190562	21871	3000	3120	10246	7797631	2336677	397962
141B	141B	30866	18701	69450	39103	31886	205442	942071	99466	36381	21605	953527	837056	67220	10847	61435	167753	3000	541927	302296	39669	580466	265619	4704	20931	19548	123785	3000	6027	3000	10297	10391888	1690952	293916
121B	121B	29360	1006129	108004	97035	75297	309615	1775711	107270	113627	57041	4958747	2905593	97294	8195	179670	131957	5315	1054109	382225	52237	1249465	478924	4521	23380	23954	390908	136919	3000	14971	10423	3040989	1959445	591469
63B	63B	54839	22392	47111	42922	38464	67521	676696	55412	20735	9705	598711	560025	22857	10503	94020	133818	3000	165046	45705	15702	164836	51304	3000	6151	4642	30279	3000	3000	3000	10427	2531378	2169869	272811
64B	64B	34733	11350	133906	100543	90593	482547	2220565	114468	129144	103070	4229049	4317142	171108	10819	392320	715288	97597	1630238	734412	66346	2188445	669955	16857	127252	102368	577803	3144	108100	12762	10539	11589983	1056174	1135121
45A	45A	44172	1489801	490927	137236	195994	1090634	3439199	193002	350070	175049	8993707	6525897	314833	230878	394906	258361	7674	3156259	1513093	188725	3793688	871561	4099	29258	20754	1110720	86819	13010	6610	10585	20671599	1848686	1270671
118A	118A	32476	13960	104605	192043	196977	322418	2574036	272584	115192	100826	2004924	3077640	363629	93220	109584	240364	7144	4593959	1587068	41344	2702457	619151	8627	52294	31383	306642	3492	13050	6467	10729	11727924	1822602	552628
03A	03A	84801	784812	149254	90835	59527	431229	2185257	146629	92325	47210	3433492	2636461	250833	13552	479982	193159	7598	1994553	975540	82121	1318631	649650	8112	41324	28871	612651	54715	11754	4705	10914	14934389	1109537	1356190
06A	06A	58721	666889	232591	158091	204198	635576	5404593	415346	220952	134093	4568512	4374053	238290	83374	505315	115930	3000	1740232	778547	62958	2159751	260375	3097	25467	20648	376714	27637	3000	3082	11021	6727914	1998626	1037546
04A	04A	56621	12384	401559	136517	184696	794346	3499071	249328	223785	108213	8593372	5944269	351488	10204	338316	387399	25655	4590787	1127296	103764	2653310	605234	12766	84753	74030	957998	3000	29137	10676	11042	7065998	1535900	1066377
12A	12A	35320	628129	266581	140029	134297	771948	3199119	287434	170579	103813	5446006	3877165	334536	185119	184673	178454	5475	2703595	1521679	96199	2975636	1166981	4267	46908	36092	953191	156569	6827	7140	11242	12350038	2061535	670199
16A	16A	43500	633317	279284	145931	134907	714112	4206453	182121	209409	90743	10827149	7633562	254846	17392	125070	144114	3000	2354096	764681	131843	1738673	986567	7960	12562	7386	945803	28403	8163	5161	11399	7405944	1415730	396263
03B	03B	31383	1383616	366914	65447	142115	561160	2860755	103587	260394	100967	9631848	5892853	94001	7699	68275	248889	3000	937922	290455	131658	563365	242728	3000	16054	14472	544234	78196	3837	5382	11739	8449019	2205106	221196
73B	73B	39343	18195	143698	80230	68641	392786	2031050	128975	81367	46659	3064004	2926156	169351	99400	121348	400102	14531	1888867	784890	51914	1357970	643425	9883	51608	54957	333862	3000	19911	7365	11875	9196398	1577245	367750
129B	129B	76977	11888	93036	46416	50011	298794	1274704	99853	68479	42134	2745954	2512811	196421	116921	147365	761595	10338	2311063	918514	46323	2100947	721717	6986	41652	36761	406444	3281	25268	10856	11969	25007382	789050	560478
61B	61B	41989	12775	215353	111037	92870	537606	3034821	207331	82121	48871	2891811	2249088	185158	9456	267894	520845	10865	1575289	819220	38968	1226276	276880	12731	79820	85422	530476	3000	11911	10063	12186	9310363	1609859	791715
113B	113B	33473	15297	33355	28114	27824	67132	562687	75031	18355	11832	475353	566736	33713	34323	90150	113318	3000	212711	69111	10931	179990	110040	3000	7852	3692	41448	3000	3000	3434	12188	10985249	2336002	344617
90B	90B	27093	702832	89006	54857	38358	196175	763971	66096	39662	20700	1782885	1131252	94549	146591	181859	222018	6067	639642	398712	39407	907736	526528	3810	5286	19804	245085	24752	10356	6617	12337	24044548	1446674	808135
137B	137B	47585	12153	189889	53174	55590	477400	1833294	135556	44703	34135	1694077	1924506	102176	13239	55444	426929	9383	935812	435517	23787	1009457	330728	6274	52171	37391	229230	3000	12908	6522	12445	33526930	1769646	248910
08A	08A	37005	347137	170006	107537	206012	373744	2648154	128228	194161	73543	5732364	4246406	143261	10633	284239	91548	3000	887062	219360	68947	798211	249785	3232	15317	11867	285380	26811	3423	4997	12471	2728811	2441402	674898
123A	123A	32675	10601	104883	88819	100978	293065	2244445	211127	97211	67925	2635386	2636597	259252	72628	509318	1087417	61133	3877782	1079472	57941	2594371	465266	24860	143572	109583	491641	3000	67973	20513	12473	17353658	906375	1276053
15B	15B	32123	1063275	338632	80974	107144	488192	2325275	91864	113419	58241	5557009	4584707	153522	182978	378699	289917	4508	1558361	300475	75217	1100397	445433	7987	77138	68179	387651	46612	4891	7476	12549	9049041	1469149	960062
44B	44B	34304	587246	115903	52644	49603	267789	1443079	155144	70072	38638	2055457	1357708	110440	10055	253403	223338	10536	1030473	708453	36817	911227	484597	3000	15899	7355	282214	35627	4244	6361	13009	34616691	1804429	803988
103A	103A	33936	15649	146496	65804	68455	360201	1935855	159826	54336	39115	2108840	2387580	145205	12082	137775	165166	3000	1516968	295197	29266	645298	242798	4618	18916	12669	132405	3000	3000	3101	13070	8229442	2420395	320849
66B	66B	34622	16947	51068	53444	44744	73582	717317	53976	20413	12261	735796	722315	22075	9280	64773	122943	3000	174985	35528	12796	133031	68553	3000	7328	3963	37540	3000	3000	3160	13281	2909823	3371269	177911
97B	97B	36564	10578	57895	42522	45129	150270	1177380	126462	39099	23972	715784	706107	88360	14558	38580	450820	3000	398422	239928	15262	491137	355841	8134	48025	45253	82525	3000	3000	3286	13436	15476975	2156919	195509
132A	132A	47642	11510	148090	171568	128101	473222	2759379	227123	105085	64150	2551490	2912661	230386	164427	238329	780335	22271	3101560	914378	52849	2058636	593274	11937	96430	78081	270677	8470	28284	11634	13499	6141053	1225143	666785
125B	125B	27285	11988	74293	68164	57164	218744	1734763	146375	53859	52948	1799710	1856164	118289	66025	244776	230044	4598	937283	408622	27186	1115534	294053	4362	29598	21849	262282	3403	8472	4644	13584	20602189	1693661	864810
72A	72A	35063	13038	521626	144975	137844	1036745	4332916	320945	254243	120156	9353724	6570169	406590	158434	459799	452361	14559	6940762	3308339	148393	4345601	860160	21233	134939	122510	1481336	3276	25361	11644	14105	2606026	1446305	1500996
57B	57B	32327	2126285	329187	231282	179454	796166	4441794	46117	221287	179540	9798719	8701286	262979	13812	716491	639714	28016	2760496	554864	127560	2217409	571347	20667	130943	145350	861974	220978	39751	15788	14363	6195614	2088388	1470295
45B	45B	71369	12758	169899	89670	68311	381006	1756449	109709	73454	56450	2252137	2192933	242287	93951	177053	646059	25682	2816323	790846	46954	1682334	633977	6534	32183	42333	367777	3000	30831	10441	14408	38357957	1682221	797722
32A	32A	56647	14679	95660	39698	60872	265449	1253586	126682	70130	25476	2407273	1504389	102625	15264	68890	188328	3000	871461	392468	32742	686170	520822	3000	9148	7862	234571	3000	3000	5212	14477	6657786	1858369	263418
106A	106A	30949	11392	219288	90348	114349	640114	3179670	442350	147140	126098	2390865	3283998	181909	12663	432157	656714	3000	1780227	838945	51281	1596790	498308	27861	239316	225386	354933	3000	10193	9976	14500	20101713	1772955	966629
69A	69A	45757	361622	151366	121499	120790	571468	3348104	168743	271210	197077	8211834	8570116	266366	198984	271902	305547	25213	2256376	1255195	115093	3112273	547208	11106	73863	62919	686066	38702	28785	9542	14506	25144645	1586735	801979
122A	122A	32421	11448	309012	147555	122478	557243	4092408	242207	102940	70817	2095354	2805124	259939	12875	334125	1107297	9804	3019576	752672	41574	1516259	414752	21324	158818	144919	250534	3000	13796	15550	14827	8318256	1778262	843945
52B	52B	25951	11209	93240	39332	41632	241190	1435471	163853	41140	32632	940269	999074	127113	58667	90426	220333	3000	653982	254427	24233	463950	170305	3000	16399	10512	115836	3000	3288	3433	14929	27714777	2572726	362540
95B	95B	35505	9510	64929	93903	62037	169308	1157132	113526	66320	50636	1586098	1720606	162502	138121	411659	898654	21878	1746948	606795	31739	1502933	622772	15799	34433	81747	258172	3000	31396	14274	15041	11757688	694236	1364913
103B	103B	24205	10751	68106	96875	71406	234802	1617050	130734	66130	59265	2153824	2173405	151672	10213	460157	641849	29408	1161170	540076	41057	1206753	376662	12170	37486	71853	330144	3000	39971	10313	15223	9878901	1272481	1386190
131A	131A	34723	16126	133225	140283	85590	383464	2483862	163364	56682	44295	1582844	2156668	202526	16846	151052	245517	3000	2285670	660802	33604	1485251	301505	3356	16396	7769	262944	3635	4384	5675	15383	11622064	2334104	565561
11A	11A	64799	15741	367088	90469	111628	798898	3114838	196845	124762	54024	5697180	3633778	198519	341001	68009	721221	20581	2352481	768337	73714	1661032	1126640	11165	67598	66020	624397	3000	23537	8227	15820	18940607	1653938	255195
106B	106B	32984	1292962	137523	108205	103438	349657	2062908	135757	162835	89762	5262209	4552245	141616	120985	433992	400308	27306	2152759	503592	85651	1819064	418492	9014	68119	66055	315181	346162	37524	16469	16252	15319706	2106912	1369809
07A	07A	207741	16503	116621	63599	66925	257808	1942058	220189	69827	39484	1659866	1440761	120415	148849	203616	313149	6311	968607	357169	26765	807093	571162	5732	44110	30463	187724	3000	7877	6763	16572	11218223	1763743	490120
85A	85A	38425	16463	220306	94447	70746	529358	2014464	142547	68839	37071	3401425	2413448	155710	12186	225251	831037	33103	1908732	729662	51852	964784	429649	16677	87957	110779	563141	3000	36999	14254	16794	8462923	2122859	603091
136B	136B	43324	12983	40196	39420	31771	186920	1200886	118215	45253	46181	1064848	1764675	118720	12960	246284	962532	19847	1148211	694020	35248	1194643	320017	10578	59250	53675	272081	3000	22130	15123	16995	19591352	1035299	714869
144B	144B	82285	14702	154600	117147	78082	349795	1929459	127305	59013	41835	2617102	2078445	121267	66985	168630	324008	3000	1039634	325997	33065	742417	354370	3000	20043	15163	267543	3000	3581	7143	17022	9789958	1908781	465511
17A	17A	57082	474528	160546	186837	104876	631135	3713175	330520	137352	59059	4681656	3007449	161740	13375	119285	142574	3000	1146781	947372	64540	1223103	583151	4006	30532	30991	407691	38411	3000	4502	17027	5480991	2557220	420868
Ut1	Ut1	57747	12820	219427	192840	201099	718223	5363112	415110	292675	199045	7325068	5916659	215268	13060	242232	745403	37490	1342331	626075	67339	1676979	478725	22707	123590	141538	359964	3000	50151	16670	17090	12490069	1752505	743819
105A	105A	43283	115656	106155	63103	63802	194127	1437936	95137	52856	25377	1999814	1550230	77595	14403	97971	179280	3000	752532	150492	28473	311014	188199	3000	7857	7374	148785	16948	3000	3000	17326	6749649	2721722	252359
17B	17B	43981	16104	41260	37330	33468	105994	660491	87772	23570	8227	620685	637483	42966	115957	94073	277959	3000	415952	185085	18259	378808	622119	3000	8016	6755	88800	3002	3000	3689	17730	9438068	1794813	342359
85B	85B	24314	14210	67607	68555	46592	150407	824021	64676	16040	14074	533515	678699	45857	62329	114165	257760	3000	293405	96699	17137	183951	240336	3000	3000	6631	46983	3000	3000	3865	17840	4996132	2307854	307975
77A	77A	48962	12635	179500	234232	243738	615205	4905974	277133	206917	158126	6457693	6294767	235715	12246	181892	852901	16032	2974539	932324	68809	1464641	265498	6220	50888	34401	467756	3000	31896	11048	18029	10266772	1907387	501720
29B	29B	41539	13449	43865	45241	41589	176576	999285	108147	43709	33863	1071441	1252695	134309	128807	94540	313061	3000	1443248	529538	27293	1054847	474953	3000	7504	4200	191219	3000	3000	3862	18068	29064301	1492855	441350
96B	96B	35611	1003003	65301	64475	49079	226508	1480913	138919	62947	50708	1953063	2167096	190267	11295	204314	901056	124171	2043258	855790	43046	1422487	632370	43684	327192	309247	368322	419117	171720	20747	18534	29993697	1474023	728711
99B	99B	31258	230	148757	110784	106017	434123	2486820	124260	119273	57706	5800066	3746865	195907	14517	205537	648297	3000	3248217	1296413	94574	1988064	1036291	26166	168401	168401	1282869	3000	17179	11754	19976	5624373	2019320	788532
93B	93B	29685	15775	50456	62721	48872	164717	1293072	118283	47717	42540	975108	1362002	167537	126979	188674	574793	11850	1916609	835711	32071	1837882	439487	4912	11006	41237	229168	3883	16050	8230	19998	22428116	1456259	597028
58B	58B	42108	9961	210967	210483	151002	573746	2839394	158619	157816	125579	5663818	5311438	309432	15182	525878	2418591	104929	4479625	1623232	105590	3316309	870726	52579	300192	327070	925878	3000	126299	31603	20123	24670103	1228957	1664053
127A	127A	36549	12469	69231	69758	51927	263010	1367187	143114	77463	58905	1256808	1476936	143012	15932	183803	412674	13798	1978130	1009122	33954	1580514	560508	5486	41238	31735	302873	5245	13220	9877	20221	8981096	1586069	755661
60B	60B	57917	12841	36591	34547	42946	150017	1179239	97402	44291	31786	741027	987472	104995	91459	163779	616987	3000	1027173	571636	24867	788195	284505	4925	27704	22313	142604	3000	6594	8710	20508	20000116	1396129	584972
39B	39B	33249	17462	52456	30993	36152	158671	1289472	126742	48721	41239	1022754	1157991	95893	32187	58285	198550	3000	621271	330629	16977	433791	188307	3000	4696	3000	115784	3000	4218	4132	20616	41728660	2481759	245842
115A	115A	38214	11059	69239	63360	74390	207183	1109353	106053	73583	40150	2447236	2149772	161800	159289	144210	956918	7069	2292578	747759	46787	1686399	687446	7571	38123	34148	389934	3000	15660	14774	20956	24109598	1327537	683827
53B	53B	59628	21019	91218	79873	68235	183695	1550542	86440	34130	22532	1016678	905466	58749	60704	106350	339264	3000	403179	147494	17455	333717	115875	3000	21757	17561	62624	3000	6204	6966	21305	9870923	2477953	288644
Ut5B	Ut5B	47102	14850	85318	89175	50959	315110	2223133	174293	66845	56745	2139843	2278182	175122	15412	203328	818400	21477	1404007	619823	31603	1146665	388842	11220	73292	83071	246758	3000	30595	13207	21549	19757591	1331911	663162
80A	80A	36197	14485	700138	184414	216065	1221519	4902651	188484	353465	212617	11500258	9625763	271442	17013	413483	1709208	85056	2603882	866591	144444	2464440	270351	16558	128820	98165	807012	3041	82856	21612	21558	15144682	1660986	906131
65B	65B	31584	12841	158946	39553	58039	377760	1359865	111493	87760	68997	3156882	2947547	119301	90655	173323	488662	18287	826924	217280	51025	840103	410019	7595	43949	39615	250174	3000	25339	8618	21875	9537617	1728510	587836
23B	23B	28087	578529	198865	52574	66293	412959	1583533	80219	132071	34250	7919828	2657357	141552	94991	194835	339655	3557	1427386	746918	148567	1429711	438992	5686	36480	33275	1262936	81642	9747	12378	22505	24806293	2351240	890889
92A	92A	37129	11235	89119	39257	35969	211157	845683	92929	35913	24755	1186753	1337347	87990	71936	79352	657640	4196	1008576	406623	35428	824655	390924	6085	28155	23587	192464	3288	15651	9280	22549	40602925	1995470	309093
108B	108B	29460	591977	62697	99372	65431	104642	794695	107741	41400	20488	837810	717633	83768	102519	254875	437433	11803	849141	356544	30923	969339	220141	5007	30125	29727	101865	24168	13853	22408	22824	26758081	2437390	875020
81A	81A	43937	10888	532470	135701	108668	905459	2930422	137951	228089	123584	10405772	7618587	489913	11594	224282	1778906	167346	7789778	2430606	179302	5710836	852964	37519	240981	290011	2569917	3000	229205	28259	23051	10701753	1400693	765209
Ut4B	Ut4B	31093	13012	104416	137582	99987	485544	2660658	174842	126599	100041	4230735	3549066	179107	10867	205003	974155	56912	1480373	654400	45625	1432142	611082	17931	149775	128876	411207	3000	62755	13764	23068	15565044	1698319	716471
42A	42A	28477	15572	219755	116685	77250	542314	2957944	176930	74397	69830	2358290	4056961	228968	303959	168646	879382	17183	1818009	785352	43243	1956331	978195	6356	41336	37501	404808	3000	17549	16976	23548	28059587	1747125	432971
77B	77B	44249	17619	59197	51512	49066	150510	1192540	94566	28455	16076	1011850	972846	52555	77275	59464	328270	3000	468709	126194	22858	331753	177612	3000	6756	3882	69414	3000	3000	6257	24132	3348852	2530876	206487
38B	38B	34222	12372	47561	40807	45073	185807	1174021	87464	32406	24547	1024866	1064389	109838	142134	129603	369642	3000	1048906	338789	23799	685983	987274	4834	30233	29618	183751	3000	5086	3757	25003	12027870	1757447	535497
50B	50B	29346	12492	70753	48880	36395	146236	875656	100953	31854	20979	754155	850646	69662	82550	96059	338910	3000	723961	234817	20995	543001	185566	3000	19495	14014	88734	3000	3998	5457	25541	26426215	1943240	471249
58A	58A	42380	12931	49697	73016	48456	143784	1160091	153382	46051	44321	688236	1103092	147875	118653	211605	1437933	7913	1214244	754420	37128	1058695	442153	6065	38151	30327	147176	3185	15816	23833	25549	47040492	1551036	680873
40A	40A	42998	11711	570380	177412	174790	972272	3833965	136311	264770	124835	10590269	8693054	412378	16389	346178	2779273	285367	5457940	2237138	179737	4287004	992816	41188	254338	257245	1555702	3000	311265	42190	25946	17532404	1400769	890997
81B	81B	39016	15662	170879	47316	43166	249149	1299024	78222	50316	36311	2452474	2243623	74902	10715	68473	385807	3000	550393	195703	42802	481915	284770	3000	14390	9840	300712	3000	5148	6208	26715	10991646	2181980	279900
109B	109B	26487	11146	107891	42542	43781	177046	844191	71242	41523	18928	1373833	994467	82735	11107	76045	637777	4338	758959	228981	24182	560945	400483	3876	23692	25226	126248	3000	7801	9813	26811	10726722	1588314	335930
