Plant	Path	 1-Hexanal	Limonene*	E-beta.-Ocimene	 3(Z)-Hexen-1-ol-acetate 	 Isohexanol	 1-Hexanol	 3(Z)-hexenyl propanoate	 4(Z)-Hexenyl butanoate/ 3(Z)-Hexenyl-1-ol*	 2(E)-Hexenyl butanoate	 n-Hexyl butanoate	 Hexyl 2-methylbutanoate	 3(Z)-hexenyl ester*	 3(Z)-Hexenyl butanoate	 3(Z)-hexenyl valerate*	 3(Z)-Hexenyl isovalerate	 sesquiterpene*	  Linalooll	 Beta-caryophyllene*	 alpha-Duprezianene*	(E)-alpha-Bergamotene*	 beta.-Elemene	 3(Z)-Hexenyl caproate*	 4(E)-Hexenyl hexanoate	 5-Hexenyl hexanoate	 (E)-Hex-3-enyl (E)-2-methylbut-2-enoate*	(E)-beta-Famesene 	 alpha-Terpineol	 sesquiterpene RT 22.7 mixed with neighbor peak	 sesquiterpene RT 22.8	 sesquiterpene RT 23.0	 3(Z)-Hexen-1-ol trifluoroacetate*	 alpha -Farnesene mix with next peak	 sesquiterpene RT 23.8	 Sesquiphellandrene	 sesquiterpenoid RT 24.2	Benzyl acetone*	Nicotine*	 Benzyl alcohol*	 sesquiterpene RT27.3
238_109B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\238_109B_flower.qgd	19847	27343	327	22277	257317	85371	24363	179931	68978	3480	10083	15493	14909	172772	1053	4326	13358	44545	52980	296347	9366	32921	2490	21996	59587		7616	848	21725	21591	16237		2656	7673		12834	5546158	99626	57396
239_112B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\239_112B_flower.qgd	18432	64999	265991	12498	320588	85022	14134	183316	62582	3237	6050	17808	16938	106615	924	6890	14357	49665	66131	200465	8702	18400	2428	35608	30635		16114	2650	14786	17298	12523		2542	8858		14270	1529355	63771	127625
240_113B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\240_113B_flower.qgd	18340	47773	1268	27192	366809	102374	23557	406216	34354	1664	7139	27875	28496	334510	34991	9148	24826	66501	84372	412472	12210	37590	3267	17620	66614		14930	3309	21745	20738	10223	1388	6417	10471		14601	37616454	109627	54260
241_114B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\241_114B_flower.qgd	13722	38133	602		565	4011		6484	21291			5757					1945							14003			4568					744	444			1244	438841	23232	
242_115B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\242_115B_flower.qgd	40444	48841	226358	27255	314374	69116	11649	135128	75637	1361	11146	24278	24506	146476	29454	3554	18076	43733	53722	84189	9505	28753	4682	17126	62947		11958		8687	8325	11857	3376	4214	4108		13150	1764281	124252	104396
243_118B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\243_118B_flower.qgd	28917	46700	151351	20550	282580	68734	35306	322477	26773	2147	5703	18980	18389	147628	1347	4155	17706	26628	35040	160851	10341	16772	3202	10009	30613		8199	3706	21670	20724	7828	19718	6818	4519		2596	2919840	60815	29438
244_119B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\244_119B_flower.qgd	47197	123571	133592	46845	522755	157279	16384	228335	82314	6281	19602	20215	21051	195558	48277	2258	26238	22394	31908	81897	8943	54716	5601	27465	49238		12122	1485	11736	11736	10807	20855		6518		80143	23696593	180159	76157
245_120B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\245_120B_flower.qgd	24019	43909	850	23942	357861	82813	27738	403208	25077	3242	8395	26399	25776	281952	39116	6022	20824	22683	31158	217317	8510	39094	4126	32560	60227		7131	3148	21408	21281	8974		6956	8058		3744	39787947	105343	35649
246_121B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\246_121B_flower.qgd	19840	31371	136683	12564	348141	104909	10751	237044	31298	1001	4623	14097	14942	109622	20302	6156	22363	28814	36253	124758	9738	39526	1376	5877	34325		9249	2585	15104	17523	10227			5521		5971	2439091	64503	84481
247_122B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\247_122B_flower.qgd	19461	42807	123091	48654	284789	42237	13182	131809	24653	3346	7684	13060	13615	116474	22315	3949	18879	50120	62931	189896	5861	37540	4954	183	35263		11282	2817	13016	11914		6731	2908	6424		188848	1425243	63128	105606
248_124B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\248_124B_flower.qgd	22885	75473	423250	28105	491921	63174	11943	211984	27356		4638	14843	14926	118167	19238	3980	27798	39243	55728	108192	2848	29283	3343	19872	31981		13777	5731	35556	37978	4064	12880	5924	3375		16854	1372664	68744	92234
249_125B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\249_125B_flower.qgd	14035	34694	456	26982	125136	21500	9966	116259	24914	1780	5374	9126	8931	129130	20267	8113	21924	69956	88779	598233	15094	6237	3476	12884	42002		9040	6585	40203	46854	13304		11297	14039		6247708	20079067	104902	160900
